MARKET_PLACE,Product_code,Segment,Customer_Site_ID
PACIFIC NORTHWEST,F1,Seg 1-3,936413
PACIFIC NORTHWEST,F1,Seg 1-3,936413
OHIO VALLEY,A1,Seg 1-3,936549
NORTH CENTRAL CALIFORNIA,D2,Seg 1-3,936688
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,937132
PACIFIC NORTHWEST,D3,Seg 1-3,937224
BAY AREA,D1,Seg 1-3,937330
MINNESOTA IOWA,A4,Seg 4-6,937692
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,937910
OHIO VALLEY,D3,Seg 1-3,937988
PACIFIC NORTHWEST,D3,Seg 1-3,938179
PACIFIC NORTHWEST,D3,Seg 1-3,938192
PACIFIC NORTHWEST,D1,Seg 1-3,938245
NORTH CENTRAL CALIFORNIA,D1,Seg 1-3,938276
NORTH CENTRAL CALIFORNIA,D2,Seg 1-3,938296
NORTH CENTRAL CALIFORNIA,F1,Seg 1-3,938300
PACIFIC NORTHWEST,F1,Seg 1-3,938640
NORTH CENTRAL CALIFORNIA,D1,Seg 1-3,938792
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,938792
CHICAGO WISCONSIN,F1,Seg 1-3,939316
CHICAGO WISCONSIN,F1,Seg 1-3,939316
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,939482
BAY AREA,F1,Seg 1-3,939582
MICHIGAN,D3,Seg 1-3,939726
MICHIGAN,D4,Seg 4-6,939726
BAY AREA,D2,Seg 1-3,939909
BAY AREA,D4,Seg 4-6,939935
MINNESOTA IOWA,A2,Seg 1-3,940022
PACIFIC NORTHWEST,D3,Seg 1-3,940139
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,940199
BAY AREA,F1,Seg 1-3,940240
BAY AREA,D2,Seg 1-3,940762
BAY AREA,D4,Seg 4-6,940762
BAY AREA,D2,Seg 1-3,940769
NORTH CENTRAL CALIFORNIA,A2,Seg 1-3,941259
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,941318
PACIFIC NORTHWEST,D2,Seg 1-3,941792
PACIFIC NORTHWEST,D4,Seg 4-6,942640
PACIFIC NORTHWEST,F1,Seg 1-3,942650
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,942678
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,943212
NORTH CENTRAL CALIFORNIA,D3,Seg 1-3,943212
NORTH CENTRAL CALIFORNIA,D2,Seg 1-3,943807
MICHIGAN,A4,Seg 4-6,944180
NORTH CENTRAL CALIFORNIA,D4,Seg 4-6,944358
INDIANA KENTUCKY,D1,Seg 1-3,944383
